gender ldlsiu02
F 4.494468212
M 1.842525005
F 2.936894417
M 3.693118334
M 3.253187895
M 5.759461403
F 3.961338282
F 3.207338333
F 4.120894432
M 4.665868282
F 4.604579926
M 2.35664773
F 4.040805817
M 3.193011761
M 4.049805164
M 2.426004171
M 2.368776083
F 3.166944981
F 2.991045237
M 4.127799034
F 0.922245204
M 2.513178349
M 4.261314392
M 4.109024525
F 4.764136314
M 2.169317722
F 2.941652536
M 3.88911128
F 3.951407909
M 2.935161829
F 3.829710722
F 3.454895973
F 3.352361202
F 3.858311892
F 4.378873825
M 4.09808588
M 5.338228226
F 3.811764002
F 3.865526915
F 2.324814081
M 2.953212023
F 4.305716038
M 2.642891884
F 3.656604052
F 2.984244108
F 4.747896194
F 4.069536686
F 1.406784058
M 4.147090435
F 5.723231792
F 2.988976479
F 3.671654463
M 3.120189905
M 5.696802616
M 4.665480137
F 3.004931927
M 3.615952015
M 4.231808186
F 4.928915977
F 2.330606699
M 3.340310335
F 4.534835339
M 4.096922398
M 2.54462409
F 2.883415937
F 2.792880058
F 2.78305316
F 3.242792368
F 2.446511269
M 4.282415867
M 3.084373951
M 2.337743998
M 3.562318325
F 2.671958685
F 3.913600683
M 3.286288738
F 3.722055674
M 5.234064102
F 5.780330658
F 2.05224967
F 3.73413229
F 4.241557121
F 2.472215891
F 2.438442945
F 4.48252058
M 3.227483273
F 4.79995203
F 3.441060781
F 3.03821373
F 3.181866169
M 5.329409599
M 3.873026371
F 5.078904152
M 3.85577774
F 3.098752022
M 4.183139324
M 4.355729103
M 3.708323956
M 2.851634026
F 2.221399784
F 4.492114544
F 2.587474108
M 5.447046757
F 3.491100073
M 3.915204048
F 4.24104023
F 3.445456982
F 3.037256956
F 4.241764069
F 3.32042408
F 2.947238445
F 3.391228676
F 3.856915474
F 3.410597801
M 3.874939919
F 5.007969856
F 1.749428988
F 2.93769598
M 3.72686553
M 2.82908392
F 4.145590782
F 3.864983797
M 4.458600044
M 2.79437995
F 4.477555752
F 4.33868742
F 2.263525724
F 3.866302729
F 3.071909428
M 4.829846382
M 2.645167589
M 3.36697197
M 4.158288002
M 3.811764002
F 4.473780155
F 3.237413406
F 2.981683969
F 2.602602005
F 3.660974264
F 3.678404093
F 3.496194363
M 3.673981905
F 5.151311874
F 2.959289074
F 3.011396885
M 4.0155406
M 4.398656845
F 1.955559015
F 1.932543635
F 2.685767889
F 2.013175249
M 3.134568214
F 4.701347828
F 3.760044098
F 3.573800325
F 5.216970444
M 3.155075073
F 1.686071992
F 4.236204147
M 3.833925962
F 2.172240019
F 2.626548529
M 5.648159981
M 4.401320457
F 3.286469936
M 3.461567879
M 2.761847973
M 2.344183207
F 2.802784443
M 3.111759663
F 2.635935545
F 3.699841976
M 2.599757433
F 3.837572336
M 4.619682312
M 0.711770654
M 3.724564075
F 2.743021965
F 3.382436275
M 3.538552999
F 3.243930101
F 4.253814697
F 2.754529715
F 4.561704159
M 3.485307455
M 2.91638732
F 2.940721512
M 2.722152948
F 4.384097576
F 4.721984386
F 2.988588572
M 2.809326887
